,0,1
3240,суржа,0.532
3653,фомка,0.532
2361,палея,0.532
2350,пайза,0.532
1763,макса,0.532
1828,менка,0.532
1316,киска,0.531
163,балет,0.531
299,бочка,0.531
3295,такса,0.531
3235,сунна,0.531
3900,чурка,0.531
1627,летка,0.53
1195,кабак,0.53
748,дайна,0.53
2934,сатир,0.53
1916,мочка,0.529
3115,совок,0.529
603,ганза,0.529
2395,патан,0.529
1311,кирза,0.529
512,ворон,0.529
1310,кипка,0.529
837,донна,0.529
1246,капор,0.529
2482,пипка,0.529
2669,пурга,0.529
2000,накра,0.529
3116,согра,0.529
1264,катер,0.528
1400,комма,0.528
3842,челка,0.528
3655,форма,0.528
381,вакса,0.528
2396,патер,0.528
1443,косок,0.527
1815,мачта,0.527
688,горжа,0.527
790,детка,0.527
1754,мазок,0.527
1917,мошка,0.527
3419,точка,0.527
513,ворот,0.526
598,гамма,0.526
2355,палас,0.526
991,журка,0.526
247,битка,0.526
503,волга,0.526
1425,коран,0.526
2362,палия,0.526
3764,хорда,0.525
387,валет,0.525
2342,пагон,0.525
2448,печка,0.525
3394,толпа,0.525
2610,потек,0.524
3657,фоска,0.524
1813,махра,0.523
1884,мойка,0.523
2377,парез,0.523
2375,парад,0.523
2479,пинна,0.523
1313,кирха,0.523
2454,пешка,0.523
518,вошка,0.523
1037,замок,0.523
751,дамба,0.522
1572,лампа,0.522
3575,фабра,0.521
2917,саман,0.521
2719,рампа,0.521
3347,темка,0.521
194,бахта,0.521
2587,попса,0.521
1911,моток,0.52
1441,косма,0.52
1208,казак,0.52
3298,талан,0.52
3249,сутра,0.52
2368,панер,0.52
1777,мамон,0.52
597,гамба,0.52
1266,катод,0.52
199,бачок,0.52
3395,толща,0.52
225,берма,0.52
1237,канат,0.519
831,домна,0.519
2028,натек,0.519
3138,сором,0.519
1769,малое,0.519
1390,колос,0.519
1814,мачок,0.519
2580,помпа,0.518
3299,талер,0.518
3327,тахта,0.518
1565,лазок,0.518
3251,сучка,0.518
1051,зарин,0.518
2386,парун,0.518
3587,фанза,0.518
1449,котик,0.517
1789,манор,0.517
1263,катар,0.517
3597,фауна,0.517
1230,камин,0.517
2708,разок,0.517
4068,щурка,0.517
3356,терма,0.517
942,жатва,0.516
1404,конек,0.516
3241,сурик,0.516
3372,тинка,0.516
3254,сушка,0.516
850,дочка,0.516
1665,литка,0.515
1382,колет,0.515
1742,магма,0.515
3325,тафта,0.515
386,валер,0.515
406,вахта,0.515
2561,полет,0.515
2888,сабин,0.514
1683,ложка,0.514
2055,ненка,0.514
3155,сочок,0.514
851,дошка,0.514
3790,цацка,0.514
1110,зурна,0.514
2810,ройка,0.513
2621,почта,0.513
1223,калий,0.513
184,басон,0.513
295,ботва,0.513
1203,кагор,0.513
2488,пирон,0.513
3751,ходка,0.513
3703,хамса,0.513
3360,теска,0.513
3829,чакра,0.512
1891,молот,0.512
749,дайра,0.512
2021,народ,0.512
1062,затек,0.512
1253,кариб,0.512
3826,чадра,0.512
1066,затон,0.511
1580,лапша,0.511
589,газок,0.511
1804,масон,0.511
2910,салеп,0.511
2002,налет,0.511
3013,сиена,0.511
2360,палец,0.511
2104,ночка,0.511
204,бедка,0.511
2823,роток,0.51
519,вояка,0.51
1694,лоток,0.51
157,байда,0.51
1824,мекка,0.51
345,булла,0.51
1352,кобза,0.51
1870,мирок,0.51
823,дойка,0.51
1407,коник,0.51
1008,задок,0.51
1385,колит,0.509
1320,кичка,0.509
215,белок,0.509
3707,ханша,0.509
3127,сомик,0.509
1596,лачок,0.509
2925,сапер,0.509
2737,рачок,0.509
2885,сабан,0.509
1547,кучка,0.509
2678,пучка,0.509
1927,мулла,0.508
3476,турок,0.508
935,жабра,0.508
352,бурса,0.508
969,жилка,0.508
984,жопка,0.508
896,дурра,0.508
2716,ракша,0.508
427,верба,0.508
2891,саван,0.507
1705,лунка,0.507
2680,пушка,0.507
2353,пакет,0.507
2074,нитка,0.507
1321,кишка,0.507
3705,ханжа,0.507
3125,солод,0.507
1010,заеда,0.507
1826,мелок,0.507
1204,кадет,0.507
1039,замша,0.506
592,галит,0.506
2592,пороз,0.506
1381,колер,0.506
349,бурда,0.506
3837,часок,0.506
2703,раджа,0.506
2086,ножка,0.506
3345,телок,0.506
2591,порог,0.505
1624,леска,0.505
3856,четка,0.505
1052,зарод,0.505
2048,немка,0.505
785,дерма,0.505
434,верша,0.504
3022,силон,0.504
599,гамон,0.504
1933,мурда,0.504
3414,торос,0.504
472,вилла,0.504
2568,полой,0.503
2595,порох,0.503
2976,секта,0.503
3300,талес,0.503
2376,параф,0.503
1453,кофта,0.503
490,вобла,0.503
4040,шутка,0.503
1027,залет,0.503
624,герма,0.502
156,байга,0.502
2773,репка,0.502
2359,палех,0.502
2008,намек,0.502
1620,лепка,0.502
1431,короб,0.501
3286,тавот,0.501
2481,пинта,0.501
3120,сойма,0.501
281,бонза,0.501
2494,питок,0.501
833,домра,0.501
175,барий,0.501
2901,сазан,0.5
1399,комик,0.5
1244,капер,0.5
3337,тезка,0.5
1196,кабан,0.5
1842,метла,0.5
3784,цанга,0.5
1918,мошна,0.5
1270,кацик,0.5
1539,куток,0.5
2356,палац,0.5
1067,затор,0.499
782,дерба,0.499
1872,миска,0.499
2564,полир,0.499
186,батан,0.499
3937,шахта,0.499
3291,тайга,0.499
2812,ролик,0.499
1567,лайда,0.498
2006,налой,0.498
1219,калам,0.498
2032,нафта,0.498
377,вабик,0.498
1869,мирза,0.497
402,ватин,0.497
2992,серое,0.497
946,желна,0.497
2706,радон,0.496
443,ветла,0.496
768,дедка,0.496
3281,табак,0.496
2397,патио,0.496
3922,шамот,0.496
1934,мурза,0.496
2617,почва,0.496
187,батат,0.496
1462,кошма,0.496
1505,кулек,0.495
765,девка,0.495
331,будка,0.495
2474,пилон,0.495
3123,солея,0.495
1795,марал,0.495
1915,мохна,0.495
3284,табор,0.494
1509,кулон,0.494
2967,седок,0.494
2979,семга,0.494
379,вазон,0.494
3037,сирен,0.494
3113,совик,0.494
196,бахча,0.494
2579,помор,0.494
2892,савар,0.494
2894,саган,0.494
240,биржа,0.493
3129,сонет,0.493
1362,кодон,0.493
667,голик,0.493
2553,пойма,0.493
3914,шажок,0.493
1690,ломок,0.493
3313,танин,0.493
2964,севок,0.493
1376,кокон,0.493
397,вапор,0.493
2815,ромок,0.493
500,война,0.493
2381,парня,0.493
596,гамак,0.493
2480,пинок,0.493
887,думка,0.493
268,бобок,0.493
3133,сопор,0.492
1588,латин,0.492
2569,полом,0.492
2458,пиала,0.492
168,банан,0.492
2728,ратин,0.492
285,борат,0.492
2589,порей,0.492
3745,хоана,0.492
280,бомба,0.492
3303,талия,0.492
2475,пилот,0.492
1229,камея,0.492
2693,пялка,0.492
1750,мазик,0.492
951,женка,0.492
1209,казан,0.491
1296,кечуа,0.491
2927,сапог,0.491
3607,ферма,0.491
3366,течка,0.491
4056,щетка,0.491
3290,тазик,0.491
2977,селен,0.491
2755,резка,0.491
2387,парус,0.491
3111,собор,0.491
2089,нолик,0.491
3633,финка,0.49
1743,магот,0.49
1566,лайба,0.49
2585,попик,0.49
2059,нерпа,0.49
2988,серир,0.49
2358,палаш,0.49
832,домок,0.49
3224,суета,0.489
2357,палач,0.489
207,бейка,0.489
1221,калач,0.489
1256,карст,0.489
378,вагон,0.489
1241,каноэ,0.489
3874,читка,0.489
3367,тешка,0.489
1224,калиф,0.489
478,вирша,0.489
1661,лиска,0.489
2581,понос,0.488
1214,кайен,0.488
3931,шатен,0.488
2720,ранет,0.488
1782,манер,0.488
736,гурда,0.488
